Site,Type,Bray_Ecolog
Breaksea,In,0.56756757
Breaksea,Out,0.42857143
Chalky,In,0.46666667
Chalky,Out,0.14814815
Doubtful,Out,0.21568627
Dusky,In,0.51219512
Dusky,Out,0.33333333
WetJacket,In,0.5
WetJacket,Out,0.35
