Site,Type,Bray_CTD
Breaksea,In,0.011000909
Breaksea,Out,0.070041714
Chalky,In,0.51602153
Chalky,Out,0.009701552
Doubtful,In,0.106190776
Doubtful,Out,0.058553183
Dusky,In,0.03691694
Dusky,Out,0.042838174
WetJacket,In,0.050616625
WetJacket,Out,0.107093374
