Site,Bray_Distance
L1z1,0
L1z10,0.703703704
L2z0,0.317073171
L2z10,0.6
L3z0,0.166666667
L3z10,0.142857143
L4z0,0.255813953
L5z0,0.183673469
L5z10,0.215686275
L6z0,0.176470588
L7z0,0.238095238
L8z0,0.2
