,Acinetobacter,AEGEAN__169_marine_group,Ambiguous_taxa,Ascidiaceihabitans,BAL58_marine_group,Candidatus_Actinomarina,Candidatus_Nitrosopelagicus,Candidatus_Nitrosopumilus,CL500__3,Coxiella,Falsirhodobacter,Flavobacterium,Fluviicola,Formosa,Halocynthiibacter,Hellea,hgcI_clade,Ketogulonicigenium,Lewinella,Limnohabitans,Loktanella,Luminiphilus,marine_metagenome,Methylotenera,NS2b_marine_group,NS3a_marine_group,NS4_marine_group,NS5_marine_group,OM43_clade,OM60.NOR5._clade,Persicirhabdus,Planctomyces,Polaribacter_3,Polaromonas,Polynucleobacter,Prochlorococcus,Profundibacterium,Pseudarcicella,Pseudohongiella,Pseudorhodobacter,Rhodovulum,Roseibacillus,Roseobacter_clade_NAC11__7_lineage,Rubripirellula,Rubritalea,SAR92_clade,SV1__3,Synechococcus,Ulvibacter,uncultured,uncultured_actinobacterium,uncultured_alpha_proteobacterium,uncultured_bacterium,uncultured_Bacteroidetes.Chlorobi_group_bacterium,uncultured_deep__sea_bacterium,uncultured_gamma_proteobacterium,uncultured_marine_archaeon,uncultured_marine_bacterium,uncultured_organism,ZD0417marinegroup,Site
L1_10,0,0,0.117896639,0,0,0,0,0,0.033644514,0,0,0,0.035093906,0.077002006,0.10011346,0.031120814,0,0,0,0,0,0.022368056,0,0,0,0.012216081,0.031465852,0.147212621,0.028537226,0.043511352,0.021212681,0,0,0,0,0.083669138,0,0,0.011147754,0,0,0.044412607,0,0.010629448,0,0,0,0.033043719,0,0.464316327,0,0.075813158,0.075905822,0,0,0,0,0.018486692,0,0,L1
L2_10,0,0,0.096567856,0,0,0,0,0,0.013116889,0.01119142,0,0,0.07335421,0.091830726,0.072275725,0.037305568,0,0,0,0,0,0.025936175,0,0,0,0.02743422,0.045833872,0.229076919,0.027330886,0.057760377,0,0,0,0,0,0.073173542,0,0,0,0,0,0.070926708,0,0,0,0,0,0.041503053,0.02407902,0.454883482,0,0.037523965,0.038644395,0,0,0,0,0,0,0,L2
L3_10,0,0.014736153,0.207589334,0,0,0.049931322,0.116059582,0.110134484,0.012854548,0.01308742,0,0,0,0,0,0,0,0,0,0,0,0,0.013473054,0,0,0,0.024686112,0.152760041,0.013940868,0.034949464,0.017185972,0.017605142,0,0,0,0,0,0,0,0,0,0.060214342,0,0,0,0,0,0,0,0.105779261,0,0.08514429,0.352550952,0,0,0.026101974,0,0,0,0,L3
L5_10,0,0,0.22135953,0,0,0.062063505,0.095140536,0.079272246,0.036445544,0.027293534,0,0,0,0,0.019432478,0,0,0,0,0,0,0,0.013519223,0,0,0,0.014890429,0.134865232,0.021660059,0.037645526,0.033392117,0.013941698,0,0,0,0.039399146,0,0,0,0,0,0.090641585,0,0,0,0,0,0,0,0.097419007,0,0.054893177,0.318700154,0,0,0,0,0,0.010468009,0,L5
