"","L1z1","L1z10","L2z0","L2z10","L3z0","L3z10","L4z0","L5z0","L5z10","L5z100","L5z200","L5z360","L5z40","L6z0","L7z0","L8z0"
"DMannitol",-0.0125,-0.067666667,0.076866667,0.0182,0.230266667,0.181766667,0.083466667,0.472833333,0.020866667,0.0669,0.154666667,0.119166667,0.061966667,0.087333333,0.050733333,0.041633333
"4Hydroxy_Benzoic_Acid",-0.004033333,-0.024366667,-0.012333333,-0.020766667,0.119966667,0.0904,0.055766667,0.157933333,0.023866667,0.118866667,0.091266667,0.150066667,0.1053,0.1285,-0.01,0.048366667
"LSerine",0.0713,-0.064966667,0.079866667,0.078466667,0.0469,0.072866667,0.052366667,0.190866667,0.017333333,0.0978,0.055166667,0.064533333,0.060366667,0.108333333,0.006566667,0.113566667
"alpha_Cyclodextrin",0.1788,-0.0345,0.332566667,0.397566667,0.086066667,0.169933333,0.070566667,0.2715,0.0334,-0.004466667,0.046166667,0.128133333,0.129166667,0.072566667,-0.015133333,0.031333333
"Nacetyl_DGlucosamine",0.003966667,-0.063466667,0.1094,-0.005766667,0.231466667,0.331033333,0.197566667,0.162166667,0.1273,0.181166667,0.0868,0.144366667,0.011333333,0.061033333,0.002333333,0.051166667
"gamma_Hydroxybutyric_Acid",-0.004033333,-0.050366667,0.1157,0.050533333,0.086,0.233333333,0.145766667,0.145,0.0673,0.011866667,0.0734,0.303533333,0.1103,0.054433333,0.093266667,0.0016
"L_Threonine",0.0328,-0.067766667,0.016333333,-0.029033333,0.149066667,0.070566667,0.100933333,0.1656,0.055666667,0.0073,0.044833333,0.0813,0.082666667,0.090566667,0.0065,0.09
"Glycogen",-0.020866667,0.026966667,0.0854,-0.0395,0.052566667,0.0717,0.077266667,0.532833333,0.068,-0.013666667,-3.33e-05,0.019866667,-0.0053,0.0457,-0.014033333,0.005066667
"DGlucosaminic_Acid",0.247366667,-0.033766667,-0.0054,-0.0437,0.091033333,0.047966667,0.0483,0.1714,0.110133333,0.102466667,0.0252,0.143766667,-0.0053,0.053366667,0.025066667,0.0574
"Itaconic_Acid",0.004666667,-0.036033333,-0.012766667,-0.042933333,0.101333333,0.0694,0.047533333,0.172666667,0.008133333,0.242333333,0.02,0.263766667,0.116766667,0.068866667,0.011433333,0.074266667
"Glycyl_LGlutamic_Acid",-0.0205,-0.002633333,0.027966667,-0.0501,0.082866667,0.114733333,0.004666667,0.317366667,0.0379,0.072333333,0.043966667,0.020266667,0.0304,0.0843,0.235533333,0.159133333
"DCellobiose",0.1418,0.064933333,-0.008166667,-0.0209,-0.0022,0.095866667,-0.031733333,-0.0199,0.018966667,-0.0137,-0.0018,8e-04,0.037533333,0.027633333,-0.021,0.006266667
"Glucos_1Phosphate",0.006366667,0.000266667,0.142133333,-0.0464,0.030666667,0.0185,-0.045066667,0.0315,0.0105,0.0079,0.0217,0.059033333,0.2125,0.039533333,0.069533333,0.035766667
"alpha_Ketobutyric_Acid",-0.024433333,-0.062633333,-0.015133333,-0.063666667,0.0027,0.02,-0.036866667,-0.004733333,0.012066667,0.057866667,0.001566667,0.1578,0.018566667,0.054533333,-0.015666667,0.132966667
"Phenylethyl_amine",0.0019,-0.0536,0.013033333,-0.0588,0.019933333,0.035133333,-0.0414,0.1824,0.033666667,-0.019566667,0.0728,0.017266667,-0.003066667,0.032466667,0.0605,0.044766667
"alpha_DLactose",-0.013166667,-0.000166667,-0.0047,-0.038233333,-0.007133333,-0.005233333,-0.0289,-0.002066667,0.0022,0.0266,-0.0092,0.0383,0.0107,0.024866667,-0.017666667,0.024666667
"DL_alpha_Glycerol_Phosphate",-0.0259,0.007566667,0.041333333,0.117033333,-0.014166667,-0.0033,-0.025733333,0.126333333,0.077066667,-0.0159,0.001533333,0.0358,-0.011933333,0.000233333,0.048,-0.007566667
"DMalic_Acid",0.021333333,-0.038433333,-0.023666667,-0.048733333,0.029033333,0.090133333,0.1914,0.188866667,0.056866667,0.309666667,0.066966667,0.013166667,0.003566667,0.147166667,0.019033333,0.2431
"Putrescine",-0.0016,-0.063266667,0.035466667,-0.0564,-0.012866667,-0.0025,-0.030033333,0.015833333,0.0109,0.055366667,-0.008033333,0.005166667,-0.013966667,-9e-04,0.0215,0.090833333
